FacName,CDName,FacAddress,Borough,ZipCode,Lon,Lat,FT_Decode
PS 4,BROOKLYN COMMUNITY DISTRICT 5,530 Stanley Ave,BK,11207,-73.88802762,40.65659636,Special School - Public
PS 36,BROOKLYN COMMUNITY DISTRICT 5,2045 Linden Blvd,BK,11207,-73.88719934,40.66046569,Special School - Public
PS 53,BROOKLYN COMMUNITY DISTRICT 7,544 7 Ave,BK,11215,-73.98871124,40.66077022,Special School - Public
PS 77,BROOKLYN COMMUNITY DISTRICT 6,62 Park Pl,BK,11217,-73.97665204,40.67880982,Special School - Public
PS 140,BROOKLYN COMMUNITY DISTRICT 3,141 Macon St,BK,11216,-73.94560421,40.68191739,Special School - Public
PS 141,BROOKLYN COMMUNITY DISTRICT 9,655 Parkside Ave,BK,11226,-73.95151049,40.65641831,Special School - Public
PS 231,BROOKLYN COMMUNITY DISTRICT 12,5601 16 Ave,BK,11204,-73.98925381,40.62645223,Special School - Public
PS 368,BROOKLYN COMMUNITY DISTRICT 3,70 Tompkins Ave,BK,11206,-73.947572,40.69669341,Special School - Public
PS 369 COY L COX SCHOOL,BROOKLYN COMMUNITY DISTRICT 2,383 State St,BK,11217,-73.98331609,40.68742956,Special School - Public
PS 370,BROOKLYN COMMUNITY DISTRICT 13,3000 W st St,BK,11224,-73.96987647,40.57770668,Special School - Public
PS 371 LILLIAN L RASHKIS,BROOKLYN COMMUNITY DISTRICT 7,355 37 St,BK,11232,-74.00516811,40.65430395,Special School - Public
PS 372 CHILDREN'S SCHOOL (THE),BROOKLYN COMMUNITY DISTRICT 6,512 Carroll St,BK,11215,-73.98550724,40.67618178,Special School - Public
PS 373 BROOKLYN TRANSITION CENTER,BROOKLYN COMMUNITY DISTRICT 3,185 Ellery St,BK,11206,-73.94521142,40.69921475,Special School - Public
PS 396,BROOKLYN COMMUNITY DISTRICT 16,110 Chester St,BK,11212,-73.9117922,40.66818629,Special School - Public
PS 721 BROOKLYN OCCUPATIONAL TRAINING CENTER,BROOKLYN COMMUNITY DISTRICT 13,64 Ave X,BK,11223,-73.98188278,40.58796653,Special School - Public
PS 753 SCHOOL FOR CAREER DEVELOPMENT,BROOKLYN COMMUNITY DISTRICT 2,510 Clermont Ave,BK,11238,-73.96923419,40.68256567,Special School - Public
PS 771,BROOKLYN COMMUNITY DISTRICT 13,1075 Oceanview Ave,BK,11235,-73.95580289,40.58037008,Special School - Public
PS 811 CONNIE LEKAS SCHOOL,BROOKLYN COMMUNITY DISTRICT 15,2525 Haring St,BK,11235,-73.93861384,40.59113004,Special School - Public
PS 4,QUEENS COMMUNITY DISTRICT 8,196-25 Peck Ave,QN,11365,-73.77812189,40.74169781,Special School - Public
PS 9,QUEENS COMMUNITY DISTRICT 5,58-74 57 St,QN,11378,-73.91245105,40.71823767,Special School - Public
PS 23 AT QUEENS CHILDREN CENTER,QUEENS COMMUNITY DISTRICT 13,74-03 Commonwealth Blvd,QN,11426,-73.72409647,40.74760856,Special School - Public
ROBERT E PEARY SCHOOL,QUEENS COMMUNITY DISTRICT 5,16-66 Hancock St,QN,11385,-73.90485283,40.69868891,Special School - Public
PS 177,QUEENS COMMUNITY DISTRICT 11,56-37 188 St,QN,11365,-73.78741228,40.74347747,Special School - Public
PS 224,QUEENS COMMUNITY DISTRICT 13,252-12 72 Ave,QN,11426,-73.72163059,40.7495514,Special School - Public
PS 233,QUEENS COMMUNITY DISTRICT 6,91-30 Metropolitan Ave,QN,11375,-73.85604699,40.70900521,Special School - Public
PS 255,QUEENS COMMUNITY DISTRICT 8,158-40 76 Rd,QN,11366,-73.80936934,40.72419828,Special School - Public
RIVERVIEW SCHOOL,QUEENS COMMUNITY DISTRICT 2,1-50 51 Ave,QN,11101,-73.95948441,40.74270588,Special School - Public
JOHN F KENNEDY JR SCHOOL,QUEENS COMMUNITY DISTRICT 4,57-12 94 St,QN,11373,-73.86788275,40.73561065,Special School - Public
QUEENS TRANSITION CENTER,QUEENS COMMUNITY DISTRICT 12,142-10 Linden Blvd,QN,11436,-73.80087928,40.68347071,Special School - Public
PS 811,QUEENS COMMUNITY DISTRICT 11,61-25 Marathon Pkwy,QN,11362,-73.72833683,40.75652538,Special School - Public
SOUTH RICHMOND HIGH SCHOOL IS/PS 25,STATEN ISLAND COMMUNITY DISTRICT 3,6581 Hylan Blvd,SI,10309,-74.22272516,40.51362004,Special School - Public
GREAT KILLS HIGH SCHOOL,STATEN ISLAND COMMUNITY DISTRICT 3,15 Fairfield St,SI,10308,-74.15137525,40.56409272,Special School - Public
PS 373,STATEN ISLAND COMMUNITY DISTRICT 1,91 Henderson Ave,SI,10301,-74.09546152,40.64117458,Special School - Public
RICHARD H HUNGERFORD SCHOOL (THE),STATEN ISLAND COMMUNITY DISTRICT 1,155 Tompkins Ave,SI,10304,-74.07703617,40.62088244,Special School - Public
PS 15 ROBERTO CLEMENTE,MANHATTAN COMMUNITY DISTRICT 3,333 E 4 St,MN,10009,-73.97870408,40.72201558,Elementary School - Public
PS 19 ASHER LEVY,MANHATTAN COMMUNITY DISTRICT 3,185 1 Ave,MN,10003,-73.98447806,40.72999552,Elementary School - Public
PS 20 ANNA SILVER,MANHATTAN COMMUNITY DISTRICT 3,166 Essex St,MN,10002,-73.98631275,40.72128389,Elementary School - Public
PS 34 FRANKLIN D ROOSEVELT,MANHATTAN COMMUNITY DISTRICT 3,730 E 12 St,MN,10009,-73.97505887,40.72600847,Elementary School - Public
STAR ACADEMY PS 63 (THE),MANHATTAN COMMUNITY DISTRICT 3,121 E 3 St,MN,10009,-73.98621469,40.72443761,Elementary School - Public
PS 64 ROBERT SIMON,MANHATTAN COMMUNITY DISTRICT 3,600 E 6 St,MN,10009,-73.98198664,40.72349008,Elementary School - Public
PS 110 FLORENCE NIGHTINGALE,MANHATTAN COMMUNITY DISTRICT 3,285 Delancey St,MN,10002,-73.9799291,40.71528565,Elementary School - Public
PS 134 HENRIETTA SZOLD,MANHATTAN COMMUNITY DISTRICT 3,293 E Broadway,MN,10002,-73.9830352,40.71435019,Elementary School - Public
PS 137 JOHN L BERNSTEIN,MANHATTAN COMMUNITY DISTRICT 3,293 E Broadway,MN,10002,-73.9830352,40.71435019,Elementary School - Public
PS 140 NATHAN STRAUS,MANHATTAN COMMUNITY DISTRICT 3,123 Ridge St,MN,10002,-73.98377352,40.71914814,Elementary School - Public
PS 142 AMALIA CASTRO,MANHATTAN COMMUNITY DISTRICT 3,100 Attorney St,MN,10002,-73.98411647,40.71812165,Elementary School - Public
PS 184 SHUANG WEN,MANHATTAN COMMUNITY DISTRICT 3,327 Cherry St,MN,10002,-73.98543832,40.71112542,Elementary School - Public
PS 188 ISLAND SCHOOL (THE),MANHATTAN COMMUNITY DISTRICT 3,442 E Houston St,MN,10002,-73.97736277,40.71986893,Elementary School - Public
"TECHNOLOGY, ARTS AND SCIENCES STUDIO",MANHATTAN COMMUNITY DISTRICT 3,185 1 Ave,MN,10003,-73.98447806,40.72999552,Middle School - Public
EAST VILLAGE COMMUNITY SCHOOL (THE),MANHATTAN COMMUNITY DISTRICT 3,610 E 12 St,MN,10009,-73.97825854,40.72753795,Elementary School - Public
UNIV NEIGHBORHOOD MIDDLE SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,220 Henry St,MN,10002,-73.98605827,40.71335974,Middle School - Public
CASTLE,MANHATTAN COMMUNITY DISTRICT 3,220 Henry St,MN,10002,-73.98605827,40.71335974,Middle School - Public
CHILDREN'S WORKSHOP SCHOOL (THE),MANHATTAN COMMUNITY DISTRICT 3,610 E 12 St,MN,10009,-73.97825854,40.72753795,Elementary School - Public
NEIGHBORHOOD SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,121 E 3 St,MN,10009,-73.98621469,40.72443761,Elementary School - Public
EARTH SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,600 E 6 St,MN,10009,-73.98198664,40.72349008,Elementary School - Public
SCHOOL FOR GLOBAL LEADERS,MANHATTAN COMMUNITY DISTRICT 3,145 Stanton St,MN,10002,-73.98604244,40.72003774,Middle School - Public
TOMPKINS SQUARE MIDDLE SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,600 E 6 St,MN,10009,-73.98198664,40.72349008,Middle School - Public
HENRY STREET SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,220 Henry St,MN,10002,-73.98605827,40.71335974,Junior/Senior High School - Public
UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,200 Monroe St,MN,10002,-73.98411787,40.7122506,High School - Public
EAST SIDE COMMUNITY SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,420 E 12 St,MN,10009,-73.9824758,40.72915259,Junior/Senior High School - Public
FORSYTHE SATELLITE ACADEMY,MANHATTAN COMMUNITY DISTRICT 3,198 Forsyth St,MN,10002,-73.99047216,40.7224124,High School - Public
MARTA VALLE HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,145 Stanton St,MN,10002,-73.98604244,40.72003774,High School - Public
LOWER EAST SIDE PREP HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,145 Stanton St,MN,10002,-73.98604244,40.72003774,High School - Public
"NEW EXPLORATIONS SCI, TECH & MATH",MANHATTAN COMMUNITY DISTRICT 3,111 Columbia St,MN,10002,-73.97958514,40.71941371,K-12 School - Public
CASCADES HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,198 Forsyth St,MN,10002,-73.99047216,40.7224124,High School - Public
BARD HIGH SCHOOL EARLY COLLEGE,MANHATTAN COMMUNITY DISTRICT 3,525 E Houston St,MN,10002,-73.97609349,40.71827396,High School - Public
GIRLS PREP CHARTER SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,442 E Houston St,MN,10002,-73.97736277,40.71986893,Elementary School - Public Charter
MANHATTAN CHARTER SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,100 Attorney St,MN,10002,-73.98411647,40.71812165,Elementary School - Public Charter
INNOVATE MANHATTAN CHARTER SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,38 Delancey St,MN,10002,-73.99165938,40.72002181,Middle School - Public Charter
MANHATTAN CHARTER SCHOOL II,MANHATTAN COMMUNITY DISTRICT 3,220 Henry St,MN,10002,-73.98605827,40.71335974,Elementary School - Public Charter
PS 1 ALFRED E SMITH,MANHATTAN COMMUNITY DISTRICT 3,8 Henry St,MN,10038,-73.99747862,40.71255085,Elementary School - Public
PS 2 MEYER LONDON,MANHATTAN COMMUNITY DISTRICT 3,122 Henry St,MN,10002,-73.9915232,40.71290464,Elementary School - Public
PS 3 CHARRETTE SCHOOL,MANHATTAN COMMUNITY DISTRICT 2,490 Hudson St,MN,10014,-74.0059716,40.73260667,Elementary School - Public
PS 6 LILLIE D BLAKE,MANHATTAN COMMUNITY DISTRICT 8,45 E 81 St,MN,10028,-73.96041994,40.77769894,Elementary School - Public
PS 11 WILLIAM T HARRIS,MANHATTAN COMMUNITY DISTRICT 4,320 W 21 St,MN,10011,-74.00074703,40.74418693,Elementary School - Public
PS 33 CHELSEA PREP,MANHATTAN COMMUNITY DISTRICT 4,281 9 Ave,MN,10001,-74.00023098,40.74900671,Elementary School - Public
PS 40 AUGUSTUS SAINT-GAUDENS,MANHATTAN COMMUNITY DISTRICT 6,320 E 19 St,MN,10003,-73.98199077,40.73489729,Elementary School - Public
PS 41 GREENWICH VILLAGE,MANHATTAN COMMUNITY DISTRICT 2,116 W 11 St,MN,10011,-73.99916647,40.73545039,Elementary School - Public
PS 42 BENJAMIN ALTMAN,MANHATTAN COMMUNITY DISTRICT 3,71 Hester St,MN,10002,-73.99082657,40.71612693,Elementary School - Public
AMERICAN SIGN LANG & ENG SECONDAR,MANHATTAN COMMUNITY DISTRICT 6,223 E 23 St,MN,10010,-73.98133308,40.73837478,High School - Public
PS 51 ELIAS HOWE,MANHATTAN COMMUNITY DISTRICT 8,323 E 91 St,MN,10128,-73.94785614,40.78065277,Elementary School - Public
PS 59 BEEKMAN HILL INTERNATIONAL,MANHATTAN COMMUNITY DISTRICT 6,231-249 E 56 St,MN,10022,-73.96637238,40.75930009,Elementary School - Public
PS 77 LOWER LAB SCHOOL,MANHATTAN COMMUNITY DISTRICT 8,1700 3 Ave,MN,10128,-73.94999771,40.78499589,Elementary School - Public
PS 89,MANHATTAN COMMUNITY DISTRICT 1,201 Warren St,MN,10282,-74.01396775,40.71700752,Elementary School - Public
JHS 104 SIMON BARUCH,MANHATTAN COMMUNITY DISTRICT 6,330 E 21 St,MN,10010,-73.98103428,40.73587701,Middle School - Public
PS 111 ADOLPH S OCHS,MANHATTAN COMMUNITY DISTRICT 4,440 W 53 St,MN,10019,-73.98981252,40.7659084,Elementary School - Public
EAST SIDE MIDDLE SCHOOL,MANHATTAN COMMUNITY DISTRICT 8,331 E 91 St,MN,10128,-73.94748063,40.78063064,Middle School - Public
PS 116 MARY LINDLEY MURRAY,MANHATTAN COMMUNITY DISTRICT 6,210 E 33 St,MN,10016,-73.97790655,40.74451144,Elementary School - Public
PS 124 YUNG WING,MANHATTAN COMMUNITY DISTRICT 3,40 Division St,MN,10002,-73.99593823,40.71485366,Elementary School - Public
PS 126 JACOB AUGUST RIIS,MANHATTAN COMMUNITY DISTRICT 3,80 Catherine St,MN,10038,-73.99702781,40.7107091,Elementary School - Public
PS 130 HERNANDO DE SOTO,MANHATTAN COMMUNITY DISTRICT 2,143 Baxter St,MN,10013,-73.99832614,40.71865796,Elementary School - Public
MS 131,MANHATTAN COMMUNITY DISTRICT 3,100 Hester St,MN,10002,-73.99361503,40.71618202,Middle School - Public
PS 150,MANHATTAN COMMUNITY DISTRICT 1,334 Greenwich St,MN,10013,-74.01086942,40.71951931,Elementary School - Public
YORKVILLE COMMUNITY SCHOOL,MANHATTAN COMMUNITY DISTRICT 8,421 E 88 St,MN,10128,-73.94728777,40.7779462,Elementary School - Public
PS 158 BAYARD TAYLOR,MANHATTAN COMMUNITY DISTRICT 8,1458 York Ave,MN,10075,-73.95074891,40.77021306,Elementary School - Public
JHS 167 ROBERT F WAGNER,MANHATTAN COMMUNITY DISTRICT 8,220 E 76 St,MN,10021,-73.95782056,40.77154157,Middle School - Public
PS 183 ROBERT L STEVENSON,MANHATTAN COMMUNITY DISTRICT 8,419 E 66 St,MN,10065,-73.95773521,40.76380412,Elementary School - Public
PS 198 ISADOR E IDA STRAUS,MANHATTAN COMMUNITY DISTRICT 8,1700 3 Ave,MN,10128,-73.94999771,40.78499589,Elementary School - Public
PS 212 MIDTOWN WEST,MANHATTAN COMMUNITY DISTRICT 4,328 W 48 St,MN,10036,-73.98866892,40.76132457,Elementary School - Public
PS/IS 217 ROOSEVELT ISLAND,MANHATTAN COMMUNITY DISTRICT 8,645 Main St,MN,10044,-73.95260272,40.75760723,Elementary School - Public
PS 234 INDEPENDENCE SCHOOL,MANHATTAN COMMUNITY DISTRICT 1,292 Greenwich St,MN,10007,-74.01164086,40.71623101,Elementary School - Public
MS 255 SALK SCHOOL OF SCIENCE,MANHATTAN COMMUNITY DISTRICT 6,319 E 19 St,MN,10003,-73.981536,40.73532265,Middle School - Public
NOLAN PARK,MANHATTAN COMMUNITY DISTRICT 1,Governors Island,MN,,-74.0139909,40.68982336,City-State Park
MS 260 CLINTON SCH WRITERS & ARTISTS,MANHATTAN COMMUNITY DISTRICT 4,425 W 33 St,MN,10001,-73.99757813,40.75332417,Middle School - Public
EAST SIDE ELEMENTARY-PS 267,MANHATTAN COMMUNITY DISTRICT 8,213 E 63 St,MN,10065,-73.963872,40.76390501,Elementary School - Public
BATTERY PARK CITY SCHOOL,MANHATTAN COMMUNITY DISTRICT 1,55 Battery Pl,MN,10280,-74.01745329,40.70637109,Elementary School - Public
RIVER SCHOOL (THE),MANHATTAN COMMUNITY DISTRICT 6,425 E 35 St,MN,10016,-73.97241388,40.74447732,Other School - Public
IS 289,MANHATTAN COMMUNITY DISTRICT 1,201 Warren St,MN,10282,-74.01396775,40.71700752,Middle School - Public
PS 290 MANHATTAN NEW SCHOOL,MANHATTAN COMMUNITY DISTRICT 8,311 E 82 St,MN,10028,-73.95278157,40.77518188,Elementary School - Public
NYC LAB MS-COLLABORATIVE STUDIES,MANHATTAN COMMUNITY DISTRICT 4,333 W 17 St,MN,10011,-74.00221938,40.74250987,Middle School - Public
PECK SLIP SCHOOL (THE),MANHATTAN COMMUNITY DISTRICT 1,52 Chambers St,MN,10007,-74.0061574,40.71280323,Elementary School - Public
47 AMER SIGN LANG & ENG LOWER,MANHATTAN COMMUNITY DISTRICT 6,223 E 23 St,MN,10010,-73.98133308,40.73837478,Elementary School - Public
SPRUCE STREET SCHOOL,MANHATTAN COMMUNITY DISTRICT 1,12 Spruce St,MN,10038,-74.00567749,40.71096975,Elementary School - Public
NYC LAB HS-COLLABORATIVE STUDIES,MANHATTAN COMMUNITY DISTRICT 4,333 W 17 St,MN,10011,-74.00221938,40.74250987,High School - Public
SCHOOL OF THE FUTURE HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 5,127 E 22 St,MN,10010,-73.98532395,40.73912193,Junior/Senior High School - Public
NYC MUSEUM SCHOOL,MANHATTAN COMMUNITY DISTRICT 4,333 W 17 St,MN,10011,-74.00221938,40.74250987,High School - Public
ELEANOR ROOSEVELT HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 8,411 E 76 St,MN,10021,-73.95327964,40.77028822,High School - Public
MILLENNIUM HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 1,75 Broad St,MN,10004,-74.01123849,40.70468384,High School - Public
PS 527 EAST SIDE SCHOOL-SOCIAL ACTIO,MANHATTAN COMMUNITY DISTRICT 8,323 E 91 St,MN,10128,-73.94785614,40.78065277,Elementary School - Public
LOWER MANHATTAN COM MIDDLE SCHOOL,MANHATTAN COMMUNITY DISTRICT 1,26 Broadway,MN,10004,-74.01290133,40.70542749,Middle School - Public
URBAN ASSEMBLY-EMERGENCY MANAGEMENT,MANHATTAN COMMUNITY DISTRICT 4,439 W 49 St,MN,10019,-73.99035435,40.76367697,Other School - Public
STEPHEN T MATHER BLDG ARTS-CRAFTSMAN,MANHATTAN COMMUNITY DISTRICT 1,411 Pearl St,MN,10038,-74.00165564,40.71129102,Other School - Public
ELLA BAKER SCHOOL,MANHATTAN COMMUNITY DISTRICT 8,317 E 67 St,MN,10065,-73.95977731,40.76563833,Elementary School - Public
FOOD & FINANCE HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 4,525 W 50 St,MN,10019,-73.9927042,40.76547495,High School - Public
ESSEX STREET ACADEMY,MANHATTAN COMMUNITY DISTRICT 3,350 Grand St,MN,10002,-73.98932934,40.71732901,High School - Public
HIGH SCHOOL OF HOSPITALITY MGMNT,MANHATTAN COMMUNITY DISTRICT 4,525 W 50 St,MN,10019,-73.9927042,40.76547495,High School - Public
PACE HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,100 Hester St,MN,10002,-73.99361503,40.71618202,High School - Public
URBAN ASSMBLY SCH-DESIGN & CONST,MANHATTAN COMMUNITY DISTRICT 4,525 W 50 St,MN,10019,-73.9927042,40.76547495,High School - Public
FACING HISTORY SCHOOL (THE),MANHATTAN COMMUNITY DISTRICT 4,525 W 50 St,MN,10019,-73.9927042,40.76547495,High School - Public
URBAN ACADEMY-GOV'T & LAW,MANHATTAN COMMUNITY DISTRICT 3,350 Grand St,MN,10002,-73.98932934,40.71732901,High School - Public
LOWER MANHATTAN ARTS ACADEMY,MANHATTAN COMMUNITY DISTRICT 3,350 Grand St,MN,10002,-73.98932934,40.71732901,High School - Public
JAMES BALDWIN SCHOOL (THE),MANHATTAN COMMUNITY DISTRICT 4,351 W 18 St,MN,10011,-74.00252616,40.74336348,High School - Public
URBAN SCH-BUSINESS-YNG WOMEN,MANHATTAN COMMUNITY DISTRICT 1,26 Broadway,MN,10004,-74.01290133,40.70542749,High School - Public
GRAMERCY ARTS HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 6,40 Irving Pl,MN,10003,-73.98708927,40.73532615,High School - Public
NYC ISCHOOL,MANHATTAN COMMUNITY DISTRICT 2,131 Ave Of The Americas,MN,10013,-74.00504008,40.72464967,High School - Public
MANHATTAN BUSINESS ACADEMY,MANHATTAN COMMUNITY DISTRICT 4,351 W 18 St,MN,10011,-74.00252616,40.74336348,High School - Public
BUSINESS OF SPORTS SCHOOL,MANHATTAN COMMUNITY DISTRICT 4,439 W 49 St,MN,10019,-73.99035435,40.76367697,High School - Public
EMMA LAZARUS HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 3,100 Hester St,MN,10002,-73.99361503,40.71618202,High School - Public
HIGH SCHOOL-LANGUAGE AND DIPLOMACY,MANHATTAN COMMUNITY DISTRICT 6,40 Irving Pl,MN,10003,-73.98708927,40.73532615,High School - Public
HS FOR ENVIRONMENTAL STUDIES,MANHATTAN COMMUNITY DISTRICT 4,444 W 56 St,MN,10019,-73.98863893,40.76787078,High School - Public
INST FOR COLLABORATIVE EDUCATION,MANHATTAN COMMUNITY DISTRICT 6,345 E 15 St,MN,10003,-73.98259034,40.73266589,Junior/Senior High School - Public
PROFESSIONAL PERF ARTS HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 4,328 W 48 St,MN,10036,-73.98866892,40.76132457,Junior/Senior High School - Public
BARUCH COLLEGE CAMPUS HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 5,55 E 25 St,MN,10010,-73.9858033,40.74188596,High School - Public
LANDMARK HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 4,351 W 18 St,MN,10011,-74.00252616,40.74336348,High School - Public
HS-HEALTH PROFESSIONS & HUMAN SVCS,MANHATTAN COMMUNITY DISTRICT 6,345 E 15 St,MN,10003,-73.98259034,40.73266589,High School - Public
QUEST TO LEARN,MANHATTAN COMMUNITY DISTRICT 4,351 W 18 St,MN,10011,-74.00252616,40.74336348,Intermediate/Junior High School - Public
LEADERSHIP & PUBLIC SERVICE HIGH SCH,MANHATTAN COMMUNITY DISTRICT 1,90 Trinity Pl,MN,10006,-74.01246558,40.70897103,High School - Public
MANHATTAN ACAD-ARTS AND LANGUAGE,MANHATTAN COMMUNITY DISTRICT 5,111 E 33 St,MN,10016,-73.98107456,40.74651018,High School - Public
LEGACY SCHOOL FOR INTEGRATED STUDIES,MANHATTAN COMMUNITY DISTRICT 2,34 W 14 St,MN,10011,-73.99573484,40.73641921,High School - Public
MURRAY HILL ACADEMY,MANHATTAN COMMUNITY DISTRICT 5,111 E 33 St,MN,10016,-73.98107456,40.74651018,High School - Public
HUDSON HS OF LEARNING TECHNOLOGIES,MANHATTAN COMMUNITY DISTRICT 4,351 W 18 St,MN,10011,-74.00252616,40.74336348,High School - Public
INTERNATIONAL HS AT UNION SQUARE,MANHATTAN COMMUNITY DISTRICT 6,40 Irving Pl,MN,10003,-73.98708927,40.73532615,High School - Public
MANHATTAN VILLAGE ACADEMY,MANHATTAN COMMUNITY DISTRICT 5,43 W 22 St,MN,10010,-73.99196698,40.74196066,High School - Public
BALLET TECH/NYC PS FOR DANCE,MANHATTAN COMMUNITY DISTRICT 5,890 Broadway,MN,10003,-73.98950637,40.73853501,Elementary School - Public
VANGUARD HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 8,317 E 67 St,MN,10065,-73.95977731,40.76563833,High School - Public
MANHATTAN INTERNATIONAL HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 8,317 E 67 St,MN,10065,-73.95977731,40.76563833,High School - Public
WASHINGTON IRVING HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 6,40 Irving Pl,MN,10003,-73.98708927,40.73532615,High School - Public
STUYVESANT HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 1,345 Chambers St,MN,10282,-74.0138417,40.71800937,High School - Public
HIGH SCHOOL OF ECONOMICS & FINANCE,MANHATTAN COMMUNITY DISTRICT 1,100 Trinity Pl,MN,10006,-74.01233578,40.70928395,High School - Public
UNITY CENTER FOR URBAN TECHNOLOGIES,MANHATTAN COMMUNITY DISTRICT 5,111 E 33 St,MN,10016,-73.98107456,40.74651018,High School - Public
URBAN ASSEMBLY GATEWAY SCHOOL-TECH,MANHATTAN COMMUNITY DISTRICT 4,439 W 49 St,MN,10019,-73.99035435,40.76367697,High School - Public
TALENT UNLIMITED HIGH SCHOOL,MANHATTAN COMMUNITY DISTRICT 8,317 E 67 St,MN,10065,-73.95977731,40.76563833,High School - Public
MURRY BERGTRAUM HS FOR BUS CAR,MANHATTAN COMMUNITY DISTRICT 1,411 Pearl St,MN,10038,-74.00165564,40.71129102,High School - Public
